num_comodos
4
5
2
9
4
7
1
2
6
4
1
4
4
6
4
5
2
3
2
3
7
2
2
4
6
8
2
4
5
6
8
5
2
3
8
5
2
4
5
9
4
1
6
3
4
2
5
6
4
3
2
3
5
4
4
3
4
5
4
2
9
8
18
22
8
9
7
7
9
9
8
7
9
6
14
9
9
8
7
12
14
8
9
8
8
15
8
9
8
8
